"col","col 3","col 5"
"Binary Search Steps Counter","0/1","Incorrect"
"Travelkitties","0/1","Incorrect"
"Balancing Parantheses","0/1","Incorrect"
"Find me If you can","0/1","Incorrect"
"Imaginary String Printer","0/1","Incorrect"
"Age Selection","0/1","Incorrect"
"LinkedList","0/1","Incorrect"
"Custom Series","1.0/1","Correct"
"Bank Loan","1.0/1","Correct"
"People In a Row","0/1","Incorrect"
"Bubble Sort Integration","1.0/1","Correct"
"XOR And XNOR","1.0/1","Correct"
"Inheritance Code Snippet","0/1","Incorrect"
"Novel Arrangement","0/1","Incorrect"
"Round and Round","0/1","Incorrect"
"Set Theory","1.0/1","Correct"
"Mode, Mean, Median","0/1","Incorrect"
"Truth Harmony","1.0/1","Correct"
"Valid Binary Search Tree","1.0/1","Correct"
"Propositional Logic","0/1","Incorrect"
"Employee Salaries","1.0/1","Correct"
"Identical Stacks","1.0/1","Correct"
"System Safe State","0/1","Incorrect"
"Inheritance","0/1","Incorrect"
"Stacks and Queues","0/1","Incorrect"
"Average Waiting Time","1.0/1","Correct"
"Algorithm","0/1","Incorrect"
"FIFO Page Fault","0/1","Incorrect"
"Hash Clash","0/1","Incorrect"
"Process Scheduling","1.0/1","Correct"
