"hd","problems-wrapper","problem","problem 2","problem 3","problem 4","problem 5","problem 6","response-label","response-label 2","response-label 3","response-label 4","problem 7","problem 8","problem 9","problem 10","problem 11","problem 12","response-fieldset-legend"
"Process Scheduling","let shortId = ""592d28b009b24cfb90367b5e64a8b153"";
        let options = document.querySelectorAll('input[name*=""' + shortId + '""]');
        for (let option of options){
            option.setAttribute(""disabled"", ""disabled"");
        }","A CPU scheduler executes processes in time quantum of 100ms and then calculates the next process to execute after each quantum.
3 processes are fed into our CPU's process scheduler with the following attributes","Process A
Arrival Time: 0 msec
Execution Time Needed: 1900 msec","Process B
Arrival Time: 800 msec
Execution Time Needed: 1100 msec","Process C
Arrival Time: 900 msec
Execution Time Needed: 900 msec","There are four main algorithms which our CPU uses to schedule processes:
FCFR: First Come First Serve
SJF:  Shortest Job First
SRTF: Shortest Remaining Time First
RR:   Round Robin","If the scheduler is using the FCFR algorithm to schedule processes, which processes would have been completed after 2500 ms?","A","B, A","B, C","B, C","input {
        width: auto !important;
      }","","","","","",""
"Hash Clash","let shortId = ""3c4b6d99d8984e71880f2a1107c39411"";
        let options = document.querySelectorAll('input[name*=""' + shortId + '""]');
        for (let option of options){
            option.setAttribute(""disabled"", ""disabled"");
        }","Which slot would the number 23 hash to, in the following Hash Table?","An array is used here to represent a Hash Table. Array index starts from  and ends at","0","size_of_array - 1","--","23","6","4","2","3","41","--","--","--","40","42",""
"FIFO Page Fault","let shortId = ""3bbea4ec44294962a058869851085c58"";
        let options = document.querySelectorAll('input[name*=""' + shortId + '""]');
        for (let option of options){
            option.setAttribute(""disabled"", ""disabled"");
        }","Currently employed page replacement policy is  and the capacity of storing  page frames at any instance of time. The page reference string is . Can you tell the count of the page faults?","FIFO","6","Z","A","A","10","9","11","12","Y","X","X","C","W","W",""
"Algorithm","let shortId = ""710f521a59c644a086f829b7c3fb6862"";
        let options = document.querySelectorAll('input[name*=""' + shortId + '""]');
        for (let option of options){
            option.setAttribute(""disabled"", ""disabled"");
        }","What is the output of the following code?","func min_jumps(arr[], start, end)
{
    if(start == end)
        return 0;

    int min = INT_MAX;  // Max value of int

    for(idx = 1; arr[start] >= idx AND end >= start + idx; idx++)
    {
        int jumps = min_jumps(arr, start + idx, end) + 1;
        if(min > jumps)
            min = jumps;
    }
    return min;
}

main()
{
    arr[] = [1, 1, 1, 3, 4, 1, 1, 1, 4, 1],
    ans = min_jumps(arr, 0, lenOfArr);
    print ans;
}","input {
        width: auto !important;
      }","","","","5","8","11","6","","","","","","",""
"Average Waiting Time","let shortId = ""ef83f8d63cbe4ab99c093f0ccd836218"";
        let options = document.querySelectorAll('input[name*=""' + shortId + '""]');
        for (let option of options){
            option.setAttribute(""disabled"", ""disabled"");
        }","Given the following processes with their arrival and burst time given below, calculate the average waiting time using the  approach.","First Come First Serve",": Time when the process is ready for its execution on the CPU. 
    : Time required by the process to complete its execution on the CPU. 
    : Time spent by the process waiting for the CPU after its arrival.","Arrival time","Burst time","Waiting time","10.25","9.25","11.28","11.25","Process","Arrival Time","Burst Time","P1","5.0","11.0",""
"Stacks and Queues","let shortId = ""58cf4c71b9714f9598e8482500bf04b6"";
        let options = document.querySelectorAll('input[name*=""' + shortId + '""]');
        for (let option of options){
            option.setAttribute(""disabled"", ""disabled"");
        }","There are two storage systems present, one is a stack and the other queue. The content of the stack is  and the content of the queue is  (the first item in both represent the first item stored). The number on each item represent the ID of item.","[7, 14, 5, 11]","[19, 17, 18, 27, 26, 28, 15, 24, 22, 25]","We have to balance these storage systems (move items between storages so that there are equal number of items in both). Keeping in mind the functionalities of stacks and queues, we have to balance them!","STACK STORAGE:","oldest","19","18","5","27","[7, 14, 5, 11]","newest","QUEUE STORAGE:","oldest","[19, 17, 18, 27, 26, 28, 15, 24, 22, 25]","newest","What is the oldest item in queue storage after balancing the storages?"
"Inheritance","let shortId = ""e07bd7dfa5b44fd786d445c24b11e60c"";
        let options = document.querySelectorAll('input[name*=""' + shortId + '""]');
        for (let option of options){
            option.setAttribute(""disabled"", ""disabled"");
        }","What should be the result of running the following pseudocode snippet?","class Class1:
    function function_1(self):
         print(""a"")

    function function_2(self):
         print(""b"")


class Class2:
    function function_1(self):
         print(""c"")

    function function_3(self):
         print(""d"")


class Class3:
    function function_2(self):
         print(""e"")

    function function_3(self):
         print(""f"")


class ClassA(Class3, Class1):
    function function_3(self):
         print(""h"")


class ClassB(Class2):
    function function_2(self):
         print(""i"")

    function function_3(self):
         print(""j"")


class ClassC(Class1):
    function function_2(self):
         print(""k"")

    function function_3(self):
         print(""l"")
      
      
ClassA().function_3()
ClassC().function_3()
ClassA().function_1()","input {
        width: auto !important;
      }","","","","alh","hf1","lki","hla","","","","","","",""
"System Safe State","let shortId = ""26c172250d5c4ecdba4e5ef091ba46c2"";
        let options = document.querySelectorAll('input[name*=""' + shortId + '""]');
        for (let option of options){
            option.setAttribute(""disabled"", ""disabled"");
        }","table.systemSafe {
      font-family: arial, sans-serif;
      border-collapse: collapse;
      width: 50%;
    }

    table.systemSafe td, table.systemSafe th {
      border: 1px solid #dddddd;
      text-align: left;
      margin-left: 30px;
    }

    table.systemSafe tr:nth-child(even) {
      background-color: #dddddd;
    }","A system has 26 magnetic tape drives and 5 processes : P1, P2, P3, P4, P5. The allocation of resources and the need for resources by the processes are described in the table. Which of the following is possible  of the system?","safe state",": A system is in a  if there is a sequence in which all the processes can be executed without getting into a .","Hint","safe state","[4, 5, 3, 1, 2]","[3, 4, 5, 1, 2]","[5, 2, 3, 1, 4]","[4, 3, 1, 2, 5]","deadlock","input {
        width: auto !important;
      }","","","","",""
"Identical Stacks","let shortId = ""46d8438e1afc4bb481312bec49ea87e4"";
        let options = document.querySelectorAll('input[name*=""' + shortId + '""]');
        for (let option of options){
            option.setAttribute(""disabled"", ""disabled"");
        }","The rightmost element shows the top of the stack. Adding up the heights of the bottles on a stack will give you the overall height of the stack. You can pop the bottles from each stack any number of times to change the height of the stack.","Each row below are the stacks of water bottles with their respective heights(n)","1. | 2 | 2 | 1 | 1 | 4 | 4 |","2. | 5 | 1 | 3 | 1 | 4 | 3 | 4 | 4 |","3. | 2 | 4 | 1 | 5 |","Determine the maximum height of each stack where all of the three stacks are equal in terms of height.","6","18","3","10","input {
        width: auto !important;
      }","","","","","",""
"Employee Salaries","let shortId = ""62399f53c1fa42b8bea945bbd0952278"";
        let options = document.querySelectorAll('input[name*=""' + shortId + '""]');
        for (let option of options){
            option.setAttribute(""disabled"", ""disabled"");
        }",".qTable {
      font-family: arial, sans-serif;
      border-collapse: collapse;
      width: 50%;
    }

    .qTable td, th {
      border: 1px solid #dddddd;
      text-align: left;
      margin-left: 30px;
    }

    .qTable tr:nth-child(even) {
      background-color: #dddddd;
    }","Table: employee_age","Table: employee_salary","With given tables what would be output of following SQL query:","SELECT 
    MIN(eSal.salary)
FROM 
    employee_age as eAge INNER JOIN employee_salary as eSal
ON 
    eAge.emp_id = eSal.emp_id

    WHERE eAge.age > 
GROUP BY eAge.emp_id
    HAVING MIN(eSal.salary) >","20","54000","35000","49000","70000","35000","input {
        width: auto !important;
      }","","","","",""
